# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "miRNA" "-g" "ID" "-F" "GFF" "-a" "/home/marianaurera/capstone/hsa.gff3" "-T" "4" "-s" "1" "-o" "/home/marianaurera/capstone/aligned/kidney_counts_newtry.txt" "RXF393_1_sorted.bam" "RXF393_2_sorted.bam" "SKRC39_1_sorted.bam" "SKRC39_2_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	RXF393_1_sorted.bam	RXF393_2_sorted.bam	SKRC39_1_sorted.bam	SKRC39_2_sorted.bam
MIMAT0000222	chr11	64891203	64891223	-	21	2031	1753	1189	460
MIMAT0004543	chr11	64891159	64891180	-	22	0	0	0	0
MIMAT0000460_1	chr11	64891404	64891425	-	22	116	334	5	3
MIMAT0004671	chr11	64891368	64891389	-	22	0	0	0	0
MIMAT0027400	chr11	64898409	64898432	-	24	0	0	0	0
MIMAT0027401	chr11	64898363	64898383	-	21	0	0	0	0
MIMAT0027398	chr11	64902429	64902450	-	22	0	0	0	0
MIMAT0027399	chr11	64902387	64902407	-	21	0	0	0	0
MIMAT0027658	chr11	65018510	65018531	+	22	0	0	0	0
MIMAT0027659	chr11	65018550	65018570	+	21	0	0	0	0
MIMAT0027402	chr11	65129951	65129973	-	23	0	0	0	0
MIMAT0027403	chr11	65129916	65129936	-	21	0	0	0	0
MIMAT0003280	chr11	65444473	65444497	+	25	0	0	0	0
MIMAT0019779	chr11	65636310	65636331	+	22	0	0	0	0
MIMAT0019780	chr11	65636348	65636368	+	21	0	0	0	0
MIMAT0019023	chr11	65649197	65649217	+	21	0	0	0	0
MIMAT0015037	chr11	66934476	66934497	-	22	0	0	0	0
MIMAT0027622	chr11	67045683	67045704	+	22	0	0	0	0
MIMAT0027404	chr11	67490250	67490271	+	22	0	0	0	0
MIMAT0027405	chr11	67490295	67490315	+	21	0	0	0	0
MIMAT0028123	chr11	68032865	68032885	+	21	0	0	0	0
MIMAT0028124	chr11	68032900	68032922	+	23	0	0	0	0
MIMAT0019781	chr11	68033910	68033932	+	23	0	0	0	0
MIMAT0019782	chr11	68033949	68033971	+	23	0	0	0	0
MIMAT0027406	chr11	68044794	68044815	+	22	0	0	0	0
MIMAT0027407	chr11	68044932	68044953	+	22	0	0	0	0
MIMAT0015038	chr11	69083185	69083206	+	22	0	0	0	0
MIMAT0005882	chr11	70283986	70284007	+	22	519	462	0	0
MIMAT0018086	chr11	70872327	70872348	-	22	0	0	0	0
MIMAT0019220	chr11	70872289	70872310	-	22	33	12	0	0
MIMAT0027408	chr11	71473508	71473529	+	22	0	0	0	0
MIMAT0027409	chr11	71473546	71473567	+	22	0	0	0	0
MIMAT0015039	chr11	72072272	72072293	-	22	0	0	0	0
MIMAT0000250	chr11	72615102	72615124	-	23	8720	5634	9017	8875
MIMAT0004552	chr11	72615066	72615088	-	23	55	85	0	1
MIMAT0019783	chr11	72783566	72783587	+	22	0	0	0	0
MIMAT0019024	chr11	74399301	74399322	+	22	0	0	0	0
MIMAT0019790	chr11	74720307	74720328	-	22	0	0	0	0
MIMAT0000756	chr11	75335108	75335127	-	20	34	60	2	6
MIMAT0004926	chr11	79402077	79402099	-	23	560	143	0	2
MIMAT0004927	chr11	79402032	79402053	-	22	0	2	0	0
MIMAT0022269	chr11	79422206	79422226	-	21	0	0	0	0
MIMAT0022270	chr11	79422169	79422190	-	22	0	0	0	0
MIMAT0016853	chr11	81890751	81890768	-	18	0	0	0	0
MIMAT0027410	chr11	86278338	86278359	+	22	0	0	0	0
MIMAT0027411	chr11	86278377	86278398	+	22	0	0	0	0
MIMAT0015040	chr11	88176561	88176583	+	23	0	0	0	0
MIMAT0019025	chr11	90555785	90555806	-	22	0	0	0	0
MIMAT0005913	chr11	90869180	90869198	-	19	25	96	13	64
MIMAT0005892	chr11	93733724	93733745	-	22	122	169	0	0
MIMAT0022720	chr11	93733691	93733712	-	22	57	49	0	0
MIMAT0005889	chr11	94466545	94466566	-	22	57	0	0	0
MIMAT0015041	chr11	96341447	96341465	+	19	15	36	289	635
MIMAT0018195	chr11	101519834	101519855	-	22	0	0	0	0
MIMAT0019784	chr11	103849915	103849937	+	23	0	0	0	0
MIMAT0019785	chr11	103849951	103849973	+	23	0	0	0	0
MIMAT0019026	chr11	111347802	111347823	+	22	0	0	0	0
MIMAT0000685	chr11	111512950	111512972	+	23	0	1	0	0
MIMAT0004676	chr11	111512987	111513008	+	22	9	70	0	2
MIMAT0000686	chr11	111513451	111513473	+	23	43	0	0	0
MIMAT0004677	chr11	111513484	111513505	+	22	0	0	3	0
MIMAT0016850	chr11	113450059	113450078	-	20	0	0	0	0
MIMAT0025844	chr11	118644015	118644034	+	20	0	0	0	0
MIMAT0025845	chr11	118644048	118644069	+	22	0	0	0	0
MIMAT0019027	chr11	118910765	118910781	+	17	0	0	0	0
MIMAT0027412	chr11	119312985	119313007	-	23	0	0	0	0
MIMAT0027413	chr11	119312950	119312969	-	20	0	0	0	0
MIMAT0000423	chr11	122099809	122099830	-	22	1631	1931	1402	1398
MIMAT0004592	chr11	122099769	122099790	-	22	203	582	1	1137
MIMAT0000062	chr11	122146568	122146589	-	22	69592	72359	5449	32348
MIMAT0010195	chr11	122146523	122146544	-	22	0	16	0	0
MIMAT0041996	chr11	122152103	122152122	-	20	0	0	0	0
MIMAT0000098	chr11	122152275	122152296	-	22	28660	26946	12898	53491
MIMAT0004512	chr11	122152240	122152261	-	22	0	0	0	0
MIMAT0019028	chr11	123381441	123381461	-	21	0	0	0	0
MIMAT0015042	chr11	126988468	126988489	-	22	0	0	0	0
MIMAT0023715	chr11	128522430	128522448	+	19	0	0	0	0
MIMAT0030979	chr11	130666745	130666766	+	22	0	0	0	0
MIMAT0019791	chr11	133898551	133898572	-	22	0	0	0	0
MIMAT0019792	chr11	133898506	133898529	-	24	0	0	0	0
MIMAT0018069	chr12	1660316	1660334	-	19	0	0	0	0
MIMAT0004657	chr12	6963703	6963724	+	22	0	0	1	0
MIMAT0000617	chr12	6963742	6963764	+	23	45	90	48	61
MIMAT0004598	chr12	6964113	6964134	+	22	0	0	0	0
MIMAT0000432	chr12	6964155	6964176	+	22	6	13	7	9
MIMAT0005896	chr12	9239472	9239497	-	26	0	0	0	0
MIMAT0005896_1	chr12	12112006	12112031	+	26	0	0	0	0
MIMAT0003281	chr12	12764709	12764728	+	20	0	0	0	0
MIMAT0003282	chr12	12915882	12915904	+	23	0	0	0	0
MIMAT0019359	chr12	17673308	17673330	+	23	0	0	0	0
MIMAT0004970	chr12	24212471	24212490	+	20	0	0	0	0
MIMAT0016855	chr12	25874052	25874069	-	18	0	0	0	0
MIMAT0030426	chr12	42323740	42323761	-	22	0	0	0	0
MIMAT0019793	chr12	47187860	47187882	+	23	0	0	0	0
MIMAT0019029	chr12	47364197	47364218	-	22	0	0	0	0
MIMAT0025466	chr12	48132800	48132821	+	22	0	0	0	0
MIMAT0025467	chr12	48132847	48132867	+	21	0	0	0	0
MIMAT0005881	chr12	48654494	48654517	-	24	23	0	0	0
MIMAT0019798	chr12	48772014	48772035	-	22	0	0	0	0
MIMAT0019799	chr12	48771980	48771999	-	20	0	0	0	0
MIMAT0005883	chr12	50234182	50234203	-	22	27	32	0	0
MIMAT0039318	chr12	52898903	52898924	-	22	0	0	0	0
MIMAT0027414	chr12	53056949	53056970	+	22	0	0	0	0
MIMAT0027415	chr12	53056990	53057011	+	22	0	0	0	0
MIMAT0000226	chr12	53991762	53991783	+	22	31847	37381	8	438
MIMAT0004562	chr12	53991799	53991820	+	22	0	0	0	0
MIMAT0004804	chr12	54033967	54033988	+	22	0	0	0	0
MIMAT0003283	chr12	54034010	54034031	+	22	144	211	0	0
MIMAT0015083	chr12	54231407	54231428	-	22	0	0	0	0
MIMAT0004699	chr12	54337240	54337261	+	22	0	0	0	0
MIMAT0000759	chr12	54337278	54337299	+	22	41	13	0	2
MIMAT0005582	chr12	57194504	57194524	+	21	0	0	0	0
MIMAT0005583	chr12	57194555	57194574	+	20	1	0	0	0
MIMAT0027416	chr12	57512693	57512715	+	23	0	0	0	0
MIMAT0027417	chr12	57512731	57512750	+	20	0	0	0	0
MIMAT0003284	chr12	57519223	57519244	-	22	0	0	0	0
MIMAT0004805	chr12	57519183	57519204	-	22	0	26	0	0
MIMAT0027418	chr12	57748656	57748677	-	22	0	0	0	0
MIMAT0027419	chr12	57748618	57748639	-	22	0	0	0	0
MIMAT0000082	chr12	57824658	57824679	-	22	12724	14840	703	4630
MIMAT0004681	chr12	57824620	57824641	-	22	30	31	0	0
MIMAT0024598	chr12	62260418	62260437	+	20	0	8	0	1
MIMAT0000415	chr12	62603691	62603712	+	22	232924	340499	28452	131080
MIMAT0004585	chr12	62603747	62603768	+	22	37	1	0	1
MIMAT0041997	chr12	63823663	63823685	+	23	88	23	0	0
MIMAT0004806	chr12	64622533	64622554	+	22	0	0	0	0
MIMAT0003285	chr12	64622569	64622590	+	22	0	0	0	0
MIMAT0018446	chr12	64622530	64622552	-	23	0	0	0	0
MIMAT0023699	chr12	66023650	66023669	-	20	0	0	0	0
MIMAT0025460	chr12	66251091	66251112	+	22	0	0	0	0
MIMAT0025461	chr12	66251128	66251148	+	21	0	0	0	0
MIMAT0005937	chr12	69273188	69273204	-	17	0	0	0	0
MIMAT0018187	chr12	69584780	69584801	-	22	0	0	0	0
MIMAT0019225	chr12	69584744	69584765	-	22	0	0	0	0
MIMAT0018187_1	chr12	69584744	69584765	+	22	0	0	0	0
MIMAT0019225_1	chr12	69584780	69584801	+	22	0	0	0	0
MIMAT0005944	chr12	79419261	79419282	+	22	0	0	0	0
MIMAT0026744	chr12	79419296	79419317	+	22	0	0	0	0
MIMAT0003286	chr12	80832593	80832614	-	22	0	0	0	0
MIMAT0003287	chr12	80935796	80935818	-	23	0	0	0	0
MIMAT0019794	chr12	81158397	81158418	+	22	0	0	0	0
MIMAT0019795	chr12	81158433	81158454	+	22	0	0	0	0
MIMAT0048633	chr12	86745113	86745136	-	24	0	0	0	0
MIMAT0048634	chr12	86745079	86745100	-	22	0	0	0	0
MIMAT0022493	chr12	94561794	94561815	+	22	0	0	0	0
MIMAT0030419	chr12	94571306	94571327	-	22	0	0	0	0
MIMAT0002812	chr12	94834427	94834449	+	23	0	0	0	0
MIMAT0004700	chr12	95308445	95308466	+	22	0	168	0	0
MIMAT0000760	chr12	95308480	95308500	+	21	158	178	3	24
MIMAT0018113	chr12	95309928	95309949	+	22	0	0	0	0
MIMAT0005903	chr12	97491913	97491933	+	21	0	0	0	0
MIMAT0026741	chr12	97491951	97491971	+	21	0	0	0	0
MIMAT0000428	chr12	97563834	97563856	+	23	40	3	0	2
MIMAT0037309	chr12	97563872	97563893	+	22	0	0	0	0
MIMAT0019030	chr12	97939097	97939117	-	21	0	0	0	0
MIMAT0016856	chr12	97995422	97995438	-	17	0	0	0	0
MIMAT0006767	chr12	100189932	100189949	+	18	0	1	0	0
MIMAT0018072	chr12	103930425	103930442	+	18	0	0	0	0
MIMAT0018197	chr12	104591694	104591715	+	22	30	0	0	0
MIMAT0019227	chr12	104591645	104591667	+	23	0	0	0	0
MIMAT0019031	chr12	108635849	108635870	+	22	0	0	0	0
MIMAT0003288	chr12	108836923	108836946	-	24	0	0	0	0
MIMAT0026622	chr12	108836962	108836983	-	22	0	0	0	0
MIMAT0019032	chr12	109833350	109833366	+	17	0	0	0	0
MIMAT0027420	chr12	111304147	111304169	+	23	0	0	0	0
MIMAT0027421	chr12	111304189	111304209	+	21	0	0	0	0
MIMAT0027422	chr12	111799839	111799859	+	21	0	0	0	0
MIMAT0027423	chr12	111799882	111799903	+	22	0	0	0	0
MIMAT0018077	chr12	112037627	112037647	-	21	0	0	0	0
MIMAT0027623	chr12	112163295	112163316	-	22	0	0	0	0
MIMAT0027624	chr12	112163265	112163282	-	18	0	0	0	0
MIMAT0005890_1	chr12	112695082	112695102	-	21	0	0	0	0
MIMAT0028109	chr12	113159153	113159172	-	20	0	0	0	0
MIMAT0028110	chr12	113159113	113159135	-	23	0	0	0	0
MIMAT0027424	chr12	113291528	113291550	+	23	0	0	0	0
MIMAT0027425	chr12	113291586	113291608	+	23	0	0	0	0
MIMAT0003289	chr12	116148575	116148594	-	20	0	0	0	0
MIMAT0018999	chr12	116428294	116428311	-	18	0	0	0	0
MIMAT0005823	chr12	119713649	119713669	-	21	0	0	0	0
MIMAT0022940	chr12	119713678	119713695	-	18	0	0	0	0
MIMAT0019033	chr12	120155473	120155494	-	22	0	0	0	0
MIMAT0019796	chr12	120723202	120723223	+	22	0	0	0	0
MIMAT0019797	chr12	120723233	120723258	+	26	0	0	0	0
MIMAT0028111	chr12	121444326	121444347	-	22	0	0	0	0
MIMAT0028112	chr12	121444279	121444305	-	27	0	0	0	0
MIMAT0039322	chr12	122695964	122695985	-	22	0	0	0	0
MIMAT0039322_1	chr12	122709389	122709410	-	22	0	0	0	0
MIMAT0016854	chr12	123010702	123010718	-	17	0	0	0	0
MIMAT0030999	chr12	123364814	123364833	-	20	0	0	0	0
MIMAT0018182	chr12	123536413	123536434	+	22	0	0	0	0
MIMAT0027660	chr12	124337216	124337237	-	22	0	0	0	0
MIMAT0027661	chr12	124337181	124337201	-	21	0	0	0	0
MIMAT0021119	chr12	124915610	124915632	+	23	0	0	0	0
MIMAT0017989	chr12	128294105	128294126	+	22	0	0	0	0
MIMAT0027426	chr12	132582002	132582020	+	19	0	0	0	0
MIMAT0027427	chr12	132582041	132582061	+	21	0	0	0	0
MIMAT0019035	chr13	20433830	20433846	-	17	0	0	0	0
MIMAT0011775	chr13	24162469	24162490	+	22	0	0	0	0
MIMAT0026921	chr13	24162431	24162452	+	22	0	0	0	0
MIMAT0016857	chr13	39664108	39664125	-	18	0	0	0	0
MIMAT0006764	chr13	40727828	40727846	-	19	47	136	104	1
MIMAT0003290	chr13	40810826	40810846	+	21	0	0	0	0
MIMAT0015043	chr13	41101076	41101092	-	17	0	0	0	0
MIMAT0021033	chr13	41568355	41568375	-	21	0	0	0	0
MIMAT0021034	chr13	41568306	41568326	-	21	0	0	0	0
MIMAT0031006	chr13	44196171	44196190	-	20	0	0	0	0
MIMAT0017990	chr13	49996465	49996486	-	22	342	319	3	163
MIMAT0017991	chr13	49996426	49996449	-	24	0	0	0	0
MIMAT0000069	chr13	50049027	50049048	-	22	4836	4732	479	1990
MIMAT0004489	chr13	50048985	50049006	-	22	0	0	0	0
MIMAT0000068	chr13	50049167	50049188	-	22	70	119	4	260
MIMAT0004488	chr13	50049130	50049151	-	22	0	0	0	0
MIMAT0022486	chr13	51348576	51348597	-	22	0	0	0	0
MIMAT0019801	chr13	51552599	51552621	+	23	0	0	0	0
MIMAT0019802	chr13	51552637	51552658	+	22	0	0	0	0
MIMAT0010497	chr13	52810073	52810094	+	22	0	0	0	0
MIMAT0005886	chr13	54311981	54311997	-	17	0	0	0	0
MIMAT0021035	chr13	55174474	55174495	+	22	0	0	0	0
MIMAT0021036	chr13	55174509	55174530	+	22	0	0	0	0
MIMAT0015044	chr13	61199848	61199869	-	22	0	0	0	0
MIMAT0015081	chr13	65966352	65966371	-	20	0	0	0	0
MIMAT0019803	chr13	66218259	66218280	+	22	0	0	0	0
MIMAT0019804	chr13	66218296	66218317	+	22	0	0	0	0
MIMAT0018087	chr13	77698075	77698092	-	18	0	0	0	0
MIMAT0019036	chr13	87618671	87618687	-	17	0	0	0	0
MIMAT0003291	chr13	90231242	90231262	+	21	0	0	0	0
MIMAT0000070	chr13	91350618	91350640	+	23	41	48	2	2
MIMAT0000071	chr13	91350655	91350676	+	22	35	9	0	0
MIMAT0000072	chr13	91350756	91350778	+	23	1	16	0	0
MIMAT0002891	chr13	91350797	91350819	+	23	46	32	1	0
MIMAT0004490	chr13	91350904	91350925	+	22	0	0	0	0
MIMAT0000073	chr13	91350939	91350961	+	23	0	0	0	0
MIMAT0000075	chr13	91351072	91351094	+	23	133	176	3	4
MIMAT0004493	chr13	91351108	91351129	+	22	0	0	0	0
MIMAT0004491	chr13	91351207	91351229	+	23	0	0	0	0
MIMAT0000074	chr13	91351245	91351267	+	23	119	102	13	6
MIMAT0004507	chr13	91351324	91351346	+	23	41	61	0	0
MIMAT0000092	chr13	91351361	91351382	+	22	18327	25022	20876	56473
MIMAT0022267	chr13	92490163	92490184	+	22	0	0	0	0
MIMAT0022268	chr13	92490199	92490220	+	22	0	0	0	0
MIMAT0019037	chr13	96427229	96427249	+	21	0	0	0	0
MIMAT0015045	chr13	98208533	98208554	+	22	0	0	0	0
MIMAT0003292	chr13	99356146	99356168	+	23	0	0	0	0
MIMAT0016858	chr13	99643123	99643139	+	17	0	0	0	0
MIMAT0013515	chr13	101967704	101967725	-	22	0	0	0	0
MIMAT0013516	chr13	101967665	101967686	-	22	0	0	0	0
MIMAT0019805	chr13	102045974	102045995	-	22	0	0	0	0
MIMAT0005921	chr13	107531217	107531237	-	21	0	0	0	0
MIMAT0031000	chr13	110340968	110340989	+	22	0	0	0	0
MIMAT0031002	chr13	113262966	113262989	+	24	0	0	0	0
MIMAT0022265	chr13	114244505	114244525	+	21	0	0	0	0
MIMAT0022266	chr13	114244541	114244561	+	21	0	0	0	0
MIMAT0019038	chr13	114273885	114273906	+	22	0	0	0	0
MIMAT0025846	chr14	21023355	21023376	-	22	0	0	0	0
MIMAT0019807	chr14	22956998	22957020	-	23	0	0	0	0
MIMAT0019808	chr14	22956957	22956978	-	22	0	0	0	617
MIMAT0000241	chr14	23388602	23388623	-	22	0	0	0	0
MIMAT0026474	chr14	23388637	23388658	-	22	0	0	0	0
MIMAT0004960	chr14	23417997	23418018	-	22	0	0	0	0
MIMAT0026722	chr14	23418032	23418053	-	22	0	0	0	0
MIMAT0030018	chr14	24143489	24143511	-	23	0	0	0	0
MIMAT0016860	chr14	26908697	26908715	+	19	0	0	0	0
MIMAT0015046	chr14	27633246	27633269	-	24	0	0	0	0
MIMAT0003293	chr14	31014706	31014727	-	22	50	37	0	411
MIMAT0004807	chr14	31014669	31014689	-	21	0	0	0	0
MIMAT0019039	chr14	36952358	36952379	-	22	0	0	0	0
MIMAT0018354	chr14	47761061	47761082	-	22	0	0	0	0
MIMAT0023701	chr14	49966399	49966419	+	21	0	0	0	0
MIMAT0019040	chr14	50299871	50299892	-	22	0	0	0	0
MIMAT0022273	chr14	53948463	53948484	-	22	0	0	0	0
MIMAT0022274	chr14	53948427	53948448	-	22	0	0	0	0
MIMAT0016861	chr14	54878123	54878140	-	18	0	0	0	0
MIMAT0022287	chr14	59646999	59647020	-	22	0	0	0	0
MIMAT0022288	chr14	59646962	59646983	-	22	0	0	0	0
MIMAT0039310	chr14	60648681	60648700	+	20	0	0	0	0
MIMAT0005928	chr14	64095084	64095105	-	22	5	0	0	0
MIMAT0030430	chr14	64785663	64785684	-	22	0	0	0	0
MIMAT0019806	chr14	65044697	65044721	+	25	0	0	0	0
MIMAT0019809	chr14	65335155	65335175	-	21	0	0	0	0
MIMAT0019810	chr14	65335123	65335144	-	22	0	0	0	0
MIMAT0003294	chr14	65471116	65471136	+	21	127	238	0	374
MIMAT0004808	chr14	65471153	65471174	+	22	15	7	0	0
MIMAT0022487	chr14	67441902	67441922	-	21	0	0	0	0
MIMAT0030411	chr14	72516831	72516852	+	22	0	0	0	0
MIMAT0030412	chr14	72516866	72516887	+	22	0	0	0	0
MIMAT0019041	chr14	73758749	73758766	+	18	0	0	0	0
MIMAT0019811	chr14	74480175	74480196	-	22	0	0	0	0
MIMAT0019812	chr14	74480135	74480157	-	23	0	37	0	0
MIMAT0005911	chr14	77266231	77266248	+	18	17	79	786	521
MIMAT0019042	chr14	93948233	93948252	-	20	0	0	0	0
MIMAT0015048	chr14	95137923	95137944	-	22	0	44	0	0
MIMAT0019214	chr14	95137961	95137982	-	22	0	20	1	432
MIMAT0010214	chr14	100109438	100109455	-	18	96	90	0	83
MIMAT0004694	chr14	100109673	100109693	+	21	0	27	1	1
MIMAT0000753	chr14	100109715	100109737	+	23	5691	5387	107	1132
MIMAT0027428	chr14	100277362	100277383	+	22	0	0	0	0
MIMAT0027429	chr14	100277397	100277417	+	21	0	0	0	0
MIMAT0000772	chr14	100307876	100307897	+	22	401	913	508	672
MIMAT0022698	chr14	100307912	100307933	+	22	0	0	0	0
MIMAT0019043	chr14	100814551	100814570	+	20	0	0	0	0
MIMAT0003948	chr14	100852409	100852431	+	23	0	0	0	0
MIMAT0002813	chr14	100869075	100869096	+	22	23	39	0	0
MIMAT0003161	chr14	100869116	100869137	+	22	27	108	0	0
MIMAT0004695	chr14	100874515	100874535	+	21	0	0	0	0
MIMAT0000754	chr14	100874553	100874574	+	22	3	1	0	1
MIMAT0004952	chr14	100875075	100875094	+	20	0	0	0	0
MIMAT0001625	chr14	100881026	100881046	+	21	15	0	0	0
MIMAT0004757	chr14	100881069	100881090	+	22	0	0	0	0
MIMAT0001627	chr14	100881949	100881970	+	22	0	0	0	0
MIMAT0026554	chr14	100881897	100881918	+	22	11	0	0	0
MIMAT0004604	chr14	100883001	100883022	+	22	0	0	0	0
MIMAT0000446	chr14	100883035	100883056	+	22	21164	30356	16836	22172
MIMAT0002814	chr14	100884496	100884518	+	23	714	249	0	807
MIMAT0002815	chr14	100884544	100884564	+	21	0	0	0	0
MIMAT0000448	chr14	100884716	100884738	+	23	0	0	0	1
MIMAT0004606	chr14	100884750	100884771	+	22	31	22	0	0
MIMAT0000722	chr14	100911186	100911207	+	22	0	0	0	0
MIMAT0026483	chr14	100911151	100911172	+	22	0	0	0	0
MIMAT0000733	chr14	101022071	101022091	+	21	764	846	2	690
MIMAT0004690	chr14	101022109	101022130	+	22	241	122	0	0
MIMAT0003329	chr14	101023340	101023360	+	21	10901	12711	4703	8444
MIMAT0004813	chr14	101023375	101023396	+	22	28	21	0	0
MIMAT0002890	chr14	101023800	101023821	+	22	0	10	0	0
MIMAT0000687	chr14	101023832	101023853	+	22	0	0	0	0
MIMAT0000734	chr14	101025021	101025042	+	22	0	0	0	0
MIMAT0000735	chr14	101025056	101025077	+	22	409	457	0	0
MIMAT0005955	chr14	101025620	101025640	+	21	0	0	0	0
MIMAT0004696	chr14	101025747	101025768	+	22	0	0	0	0
MIMAT0000755	chr14	101025782	101025802	+	21	47	49	1	301
MIMAT0003879	chr14	101026071	101026092	+	22	0	0	0	0
MIMAT0022929	chr14	101026034	101026055	+	22	0	0	0	0
MIMAT0001629	chr14	101026834	101026855	+	22	0	0	0	0
MIMAT0026555	chr14	101026797	101026819	+	23	0	0	0	0
MIMAT0001629_1	chr14	101027151	101027172	+	22	0	0	0	0
MIMAT0026555_1	chr14	101027114	101027136	+	23	0	0	0	0
MIMAT0002816	chr14	101029681	101029702	+	22	27	0	0	0
MIMAT0026607	chr14	101029648	101029670	+	23	38	78	0	0
MIMAT0015049	chr14	101030061	101030083	+	23	0	0	0	0
MIMAT0004954	chr14	101032033	101032054	+	22	0	0	0	0
MIMAT0002817	chr14	101033804	101033825	+	22	62	32	0	0
MIMAT0022924	chr14	101033768	101033789	+	22	10	0	0	0
MIMAT0000720	chr14	101039732	101039752	+	21	19	63	1	0
MIMAT0022861	chr14	101039694	101039714	+	21	8	0	0	0
MIMAT0000729	chr14	101040118	101040138	+	21	54	23	1	0
MIMAT0022928	chr14	101040080	101040100	+	21	0	0	0	0
MIMAT0003330	chr14	101040234	101040255	+	22	11	49	0	0
MIMAT0004814	chr14	101040269	101040290	+	22	1	1	0	1
MIMAT0002172	chr14	101040497	101040518	+	22	95	124	0	0
MIMAT0022923	chr14	101040459	101040480	+	22	11	0	0	0
MIMAT0003386	chr14	101040788	101040809	+	22	0	0	0	0
MIMAT0000729_1	chr14	101040825	101040845	+	21	58	21	0	0
MIMAT0004903	chr14	101041414	101041435	+	22	0	0	0	0
MIMAT0005798	chr14	101042991	101043011	+	21	15	0	0	0
MIMAT0022838	chr14	101043029	101043050	+	22	0	0	0	0
MIMAT0005798_1	chr14	101044212	101044232	+	21	14	0	0	0
MIMAT0022713	chr14	101044250	101044271	+	22	0	0	0	0
MIMAT0000736	chr14	101045968	101045989	+	22	24	0	0	0
MIMAT0022862	chr14	101045927	101045948	+	22	0	26	0	0
MIMAT0003180	chr14	101046505	101046526	+	22	472	653	0	0
MIMAT0026614	chr14	101046469	101046490	+	22	0	0	0	0
MIMAT0003163	chr14	101047329	101047350	+	22	0	0	0	0
MIMAT0022705	chr14	101047369	101047390	+	22	0	0	0	0
MIMAT0004921	chr14	101047949	101047969	+	21	15	58	0	0
MIMAT0026719	chr14	101047911	101047932	+	22	0	0	0	0
MIMAT0003164	chr14	101048712	101048733	+	22	0	0	0	0
MIMAT0003331	chr14	101049610	101049631	+	22	0	0	0	0
MIMAT0026626	chr14	101049572	101049593	+	22	1	0	0	0
MIMAT0002178	chr14	101052494	101052515	+	22	0	0	0	0
MIMAT0026559	chr14	101052458	101052479	+	22	49	174	0	617
MIMAT0000737	chr14	101054316	101054337	+	22	241	216	1	1217
MIMAT0022697	chr14	101054352	101054372	+	21	0	0	0	0
MIMAT0000447	chr14	101054694	101054715	+	22	0	0	0	0
MIMAT0026481	chr14	101054732	101054754	+	23	0	1	0	0
MIMAT0003881	chr14	101055300	101055322	+	23	0	0	0	0
MIMAT0026636	chr14	101055264	101055282	+	19	0	0	0	0
MIMAT0002175	chr14	101055427	101055448	+	22	256	189	0	642
MIMAT0002176	chr14	101055464	101055485	+	22	0	0	0	0
MIMAT0001630	chr14	101056233	101056255	+	23	0	0	0	0
MIMAT0015050	chr14	101056269	101056290	+	22	0	85	0	303
MIMAT0000452	chr14	101059769	101059790	+	22	53	95	0	0
MIMAT0000453	chr14	101059805	101059826	+	22	0	36	0	0
MIMAT0002818	chr14	101060628	101060649	+	22	0	0	0	0
MIMAT0004689	chr14	101062056	101062077	+	22	0	0	0	0
MIMAT0000730	chr14	101062094	101062115	+	22	0	0	0	1
MIMAT0004919	chr14	101064504	101064528	+	25	112	26	0	0
MIMAT0004920	chr14	101064548	101064569	+	22	0	0	0	0
MIMAT0001638	chr14	101065314	101065336	+	23	0	0	0	0
MIMAT0001639	chr14	101065346	101065367	+	22	93	121	366	0
MIMAT0002170	chr14	101065500	101065522	+	23	0	0	0	0
MIMAT0026557	chr14	101065465	101065487	+	23	350	338	0	798
MIMAT0001621	chr14	101065606	101065627	+	22	2310	3488	1314	1863
MIMAT0000721	chr14	101065641	101065661	+	21	0	0	0	0
MIMAT0002171	chr14	101065961	101065981	+	21	0	51	0	0
MIMAT0026558	chr14	101065925	101065945	+	21	0	0	0	0
MIMAT0003332	chr14	101066766	101066786	+	21	0	0	0	0
MIMAT0026627	chr14	101066731	101066751	+	21	0	0	0	0
MIMAT0005899	chr14	101560362	101560383	-	22	0	1	0	0
MIMAT0022721	chr14	101560326	101560349	-	24	0	0	0	0
MIMAT0016859	chr14	102539654	102539671	+	18	0	0	0	0
MIMAT0000264	chr14	104117469	104117490	+	22	82	23	4	1
MIMAT0031890	chr14	104117431	104117455	+	25	0	0	0	0
MIMAT0019813	chr14	104117468	104117489	-	22	0	0	0	0
MIMAT0019814	chr14	104117428	104117450	-	23	0	0	0	0
MIMAT0019815	chr14	104677723	104677740	-	18	0	0	0	0
MIMAT0049015	chr14	104865329	104865349	+	21	0	0	0	0
MIMAT0027430	chr14	105150840	105150864	-	25	0	0	0	0
MIMAT0027431	chr14	105150778	105150798	-	21	0	0	0	0
MIMAT0030998	chr14	105621151	105621170	+	20	0	0	0	0
MIMAT0030998_1	chr14	105640203	105640222	+	20	0	0	0	0
MIMAT0019082	chr14	105857513	105857534	-	22	0	0	0	0
MIMAT0019044	chr14	105858125	105858144	-	20	0	0	0	0
MIMAT0019081	chr14	105858221	105858242	-	22	0	0	0	0
MIMAT0019080	chr14	105859532	105859553	-	22	0	0	0	0
